"Date","Page views","Site sessions","Unique visitors","Bounce rate","Avg. session duration"
"Feb 1, 2024","81","47","34","72%","4m, 47s"
"Jan 1, 2024","468","252","220","65%","2m, 48s"
"Dec 1, 2023","383","182","159","65%","2m, 29s"
"Nov 1, 2023","371","211","173","68%","3m, 0s"
"Oct 1, 2023","330","175","154","66%","2m, 27s"
"Sep 1, 2023","355","209","168","68%","3m, 18s"
"Aug 1, 2023","425","246","198","71%","2m, 56s"
"Jul 1, 2023","441","264","207","75%","5m, 13s"
"Jun 1, 2023","568","342","250","70%","3m, 31s"
"May 1, 2023","632","356","275","70%","3m, 31s"
"Apr 1, 2023","792","453","352","73%","2m, 39s"
"Mar 1, 2023","627","385","295","74%","3m, 24s"
"Feb 1, 2023","549","310","245","70%","3m, 50s"
